Vreme,Temperatura,Pritisak,Zvuk,Svetlost,Pritisak,Vlažnost,Komentar
s,°C,kPa,dBA,lx,kPa,%RH,

192.48,17.0,100.5,50.0,34,100.46,32.1,
192.96,17.0,100.5,59.2,32,100.46,32.1,
193.44,17.1,100.5,40.2,48,100.44,32.1,
193.92,17.1,100.5,74.4,79,100.43,32.1,
194.4,17.2,100.5,72.3,60,100.45,32.1,
194.88,17.2,100.5,67.4,49,100.46,32.1,
195.36,17.3,100.5,40.0,45,100.43,32.1,
195.84,17.3,100.5,40.0,40,100.48,32.2,
196.32,17.3,100.5,40.0,35,100.44,32.2,
196.8,17.4,100.5,40.0,32,100.44,32.2,
197.28,17.4,100.5,69.2,31,100.44,32.2,
197.76,17.5,100.5,67.6,32,100.44,32.2,
198.24,17.5,100.5,40.0,31,100.45,32.2,
198.72,17.5,100.5,40.0,31,100.46,32.2,
199.2,17.6,100.5,40.0,28,100.45,32.2,
199.68,17.6,100.5,40.0,28,100.47,32.2,
200.16,17.7,100.5,61.3,28,100.47,32.2,
200.64,17.7,100.5,70.7,28,100.45,32.3,
201.12,17.7,100.5,55.5,28,100.40,32.3,
201.6,17.8,100.5,63.8,28,100.43,32.3,
202.08,17.8,100.5,63.6,28,100.44,32.3,
202.56,17.8,100.5,40.0,28,100.47,32.3,
203.04,17.9,100.5,70.7,29,100.44,32.3,
203.52,17.9,100.5,67.3,29,100.45,32.3,
204,17.9,100.5,64.3,29,100.43,32.3,
204.48,17.9,100.5,74.6,1000,100.46,32.4,
204.96,18.0,100.5,44.1,1000,100.47,32.4,
205.44,18.0,100.5,60.8,1000,100.43,32.4,
205.92,18.0,100.5,74.5,1000,100.46,32.4,
206.4,18.1,100.5,61.6,1000,100.45,32.4,
206.88,18.1,100.5,40.8,1000,100.44,32.4,
207.36,18.1,100.5,40.0,1000,100.45,32.4,
207.84,18.2,100.5,75.0,1000,100.45,32.4,
208.32,18.2,100.5,66.7,1000,100.45,32.4,
208.8,18.2,100.5,71.0,1000,100.43,32.4,
209.28,18.2,100.5,40.0,1000,100.42,32.4,
209.76,18.3,100.7,40.0,1000,100.47,32.4,
210.24,18.3,100.5,40.0,1000,100.43,32.4,
210.72,18.3,100.5,40.0,1000,100.45,32.4,
211.2,18.4,100.5,53.0,1000,100.43,32.4,
211.68,18.4,100.5,40.0,1000,100.45,32.4,
212.16,18.4,100.5,60.1,1000,100.46,32.4,
212.64,18.4,100.5,60.6,1000,100.42,32.4,
213.12,18.4,100.5,67.9,1000,100.44,32.4,
213.6,18.5,100.5,65.4,1000,100.43,32.3,
214.08,18.5,100.5,78.4,1000,100.47,32.3,
214.56,18.5,100.5,68.2,1000,100.46,32.3,
215.04,18.5,100.5,71.6,1000,100.45,32.2,
215.52,18.6,100.5,67.4,1000,100.46,32.2,
216,18.6,100.5,40.0,1000,100.47,32.2,
216.48,18.6,100.5,59.7,1000,100.46,32.1,
216.96,18.6,100.5,72.0,1000,100.46,32.1,
217.44,18.6,100.5,72.3,1000,100.47,32.1,
217.92,18.7,100.5,66.3,1000,100.46,32.1,
218.4,18.7,100.7,59.3,1000,100.45,32.1,
218.88,18.7,100.5,40.0,1000,100.46,32.1,
219.36,18.7,100.5,40.0,1000,100.45,32.1,
219.84,18.7,100.5,40.0,1000,100.44,32.1,
220.32,18.7,100.5,40.0,1000,100.45,32.2,
220.8,18.8,100.5,57.8,1000,100.44,32.2,
221.28,18.8,100.5,61.7,1000,100.46,32.2,
221.76,18.8,100.7,76.2,1000,100.48,32.2,
222.24,18.8,100.5,74.2,1000,100.45,32.2,
222.72,18.8,100.5,74.2,1000,100.46,32.2,
223.2,18.9,100.5,70.1,1000,100.47,32.2,
223.68,18.9,100.5,52.7,1000,100.44,32.2,
224.16,18.9,100.5,40.0,1000,100.44,32.2,
224.64,18.9,100.7,40.0,1000,100.47,32.2,
225.12,18.9,100.7,69.8,1000,100.47,32.2,
225.6,19.0,100.5,73.0,1000,100.44,32.2,
226.08,19.0,100.7,73.5,1000,100.46,32.2,
226.56,19.0,100.7,63.2,1000,100.43,32.2,
227.04,19.0,100.7,68.1,1000,100.42,32.2,
227.52,19.0,100.7,70.1,1000,100.43,32.2,
228,19.1,100.7,40.0,1000,100.44,32.2,
228.48,19.1,100.7,40.0,1000,100.45,32.2,
228.96,19.1,100.7,40.0,1000,100.45,32.2,
229.44,19.1,100.7,40.0,1000,100.44,32.2,
229.92,19.1,100.7,40.0,1000,100.47,32.2,
230.4,19.1,100.7,71.8,1000,100.45,32.2,
230.88,19.2,100.7,40.0,1000,100.42,32.2,
231.36,19.2,100.7,40.0,1000,100.46,32.2,
231.84,19.2,100.7,62.5,1000,100.45,32.2,
232.32,19.2,100.7,70.3,1000,100.45,32.2,
232.8,19.2,100.7,66.8,1000,100.42,32.2,
233.28,19.3,100.7,72.3,1000,100.44,32.2,
233.76,19.3,100.7,74.3,1000,100.44,32.2,
234.24,19.3,100.7,56.9,1000,100.44,32.2,
